# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
46,130,-1.0000002963,0.9999977815,0.0000000000,4.1298642124e+11
46,972,0.9999977815,0.9999977815,0.0000000000,1.1947870728e+12
47,132,0.9999990389,0.9999977815,0.0000000000,1.7126461701e+09
47,970,-0.9999996676,0.9999977815,0.0000000000,8.0635297747e+08
48,131,-1.0000002963,-0.9999992066,0.0000000000,4.1298642124e+11
48,969,0.9999977815,-0.9999992066,0.0000000000,4.1298642124e+11
49,259,0.0000000000,-0.9999992066,0.9999990389,3.8386525377e+10
49,857,0.0000000000,-0.9999992066,-0.9999990389,1.6095584075e+10
50,260,0.0000000000,0.9999977815,-1.0000002963,1.1059549655e+12
50,858,0.0000000000,0.9999977815,1.0000002963,1.1059549655e+12
51,258,0.0000000000,0.9999977815,0.9999990389,4.1298642124e+11
51,860,0.0000000000,0.9999977815,-0.9999990389,4.1298642124e+11
52,257,0.0000000000,-0.9999992066,-1.0000002963,1.1947870728e+12
52,859,0.0000000000,-0.9999992066,1.0000002963,1.1947870728e+12
53,256,0.9999990389,0.0000000000,-0.9999992066,3.2754920976e+11
53,854,-0.9999990389,0.0000000000,-0.9999992066,3.2754920976e+11
54,255,-1.0000002963,0.0000000000,0.9999977815,1.1947870728e+12
54,853,1.0000002963,0.0000000000,0.9999977815,4.1298642124e+11
55,253,0.9999990389,0.0000000000,0.9999977815,4.1298642124e+11
55,855,-0.9999990389,0.0000000000,0.9999977815,1.1947870728e+12
56,254,-1.0000002963,0.0000000000,-0.9999992066,4.1298642124e+11
56,856,1.0000002963,0.0000000000,-0.9999992066,4.1298642124e+11
57,261,-0.9999992066,0.9999990389,0.0000000000,1.9823557133e+11
57,863,-0.9999992066,-0.9999990389,0.0000000000,8.3120763698e+10
58,262,0.9999977815,-1.0000002963,0.0000000000,1.1947870728e+12
58,864,0.9999977815,1.0000002963,0.0000000000,4.1298642124e+11
59,264,0.9999977815,0.9999990389,0.0000000000,3.8228098852e+11
59,862,0.9999977815,-0.9999990389,0.0000000000,2.5587342005e+10
60,263,-0.9999992066,-1.0000002963,0.0000000000,1.7126461701e+09
60,861,-0.9999992066,1.0000002963,0.0000000000,8.0635297747e+08
61,247,-0.9999992066,0.0000000000,-1.0000002963,1.9823557133e+11
61,845,-0.9999992066,0.0000000000,1.0000002963,2.0210164798e+11
62,248,0.9999977815,0.0000000000,0.9999990389,2.3489831238e+12
62,846,0.9999977815,0.0000000000,-0.9999990389,3.2754920976e+11
63,246,0.9999977815,0.0000000000,-1.0000002963,8.0302504667e+09
63,848,0.9999977815,0.0000000000,1.0000002963,3.8386525377e+10
64,245,-0.9999992066,0.0000000000,0.9999990389,1.4275161493e+11
64,847,-0.9999992066,0.0000000000,-0.9999990389,1.4275161493e+11
65,244,0.0000000000,0.9999990389,0.9999977815,2.0210164798e+11
65,842,0.0000000000,-0.9999990389,0.9999977815,8.3120763698e+10
66,243,0.0000000000,-1.0000002963,-0.9999992066,1.9364095514e+12
66,841,0.0000000000,1.0000002963,-0.9999992066,4.1298642124e+11
67,241,0.0000000000,0.9999990389,-0.9999992066,1.1947870728e+12
67,843,0.0000000000,-0.9999990389,-0.9999992066,4.1298642124e+11
68,242,0.0000000000,-1.0000002963,0.9999977815,8.0635297747e+08
68,844,0.0000000000,1.0000002963,0.9999977815,8.0635297747e+08
69,249,0.9999990389,-0.9999992066,0.0000000000,4.1298642124e+11
69,851,-0.9999990389,-0.9999992066,0.0000000000,4.1298642124e+11
70,250,-1.0000002963,0.9999977815,0.0000000000,4.1298642124e+11
70,852,1.0000002963,0.9999977815,0.0000000000,4.1298642124e+11
71,252,0.9999990389,0.9999977815,0.0000000000,3.2754920976e+11
71,850,-0.9999990389,0.9999977815,0.0000000000,1.1059549655e+12
72,251,-1.0000002963,-0.9999992066,0.0000000000,1.1947870728e+12
72,849,1.0000002963,-0.9999992066,0.0000000000,4.1298642124e+11
73,379,0.0000000000,-0.9999992066,0.9999990389,3.2754920976e+11
73,737,0.0000000000,-0.9999992066,-0.9999990389,9.5154077036e+10
74,380,0.0000000000,0.9999977815,-0.9999977815,3.8386525377e+10
74,738,0.0000000000,0.9999977815,1.0000002963,8.0302504667e+09
75,378,0.0000000000,0.9999977815,0.9999990389,8.3120763698e+10
75,740,0.0000000000,0.9999977815,-0.9999990389,8.3120763698e+10
76,377,0.0000000000,-0.9999992066,-0.9999977815,1.7126461701e+09
76,739,0.0000000000,-0.9999992066,1.0000002963,8.0635297747e+08
77,376,0.9999990389,0.0000000000,-0.9999992066,1.9823557133e+11
77,734,-0.9999990389,0.0000000000,-0.9999992066,1.9823557133e+11
78,375,-0.9999977815,0.0000000000,0.9999977815,2.0919451260e+12
78,733,1.0000002963,0.0000000000,0.9999977815,1.4275161493e+11
79,373,0.9999990389,0.0000000000,0.9999977815,3.8228098852e+11
79,735,-0.9999990389,0.0000000000,0.9999977815,8.3120763698e+10
80,374,-0.9999977815,0.0000000000,-0.9999992066,4.1298642124e+11
80,736,1.0000002963,0.0000000000,-0.9999992066,4.1298642124e+11
81,381,-0.9999992066,0.9999990389,0.0000000000,1.3734235627e+11
81,743,-0.9999992066,-0.9999990389,0.0000000000,1.4275161493e+11
82,382,0.9999977815,-0.9999977815,0.0000000000,3.2754920976e+11
82,744,0.9999977815,1.0000002963,0.0000000000,3.2754920976e+11
83,384,0.9999977815,0.9999990389,0.0000000000,7.6623211398e+11
83,742,0.9999977815,-0.9999990389,0.0000000000,7.9971085071e+10
84,383,-0.9999992066,-0.9999977815,0.0000000000,3.2754920976e+11
84,741,-0.9999992066,1.0000002963,0.0000000000,1.1059549655e+12
85,367,-0.9999992066,0.0000000000,-0.9999977815,1.7126461701e+09
85,725,-0.9999992066,0.0000000000,1.0000002963,8.0635297747e+08
86,368,0.9999977815,0.0000000000,0.9999990389,3.8386525377e+10
86,726,0.9999977815,0.0000000000,-0.9999990389,2.2259284232e+11
87,366,0.9999977815,0.0000000000,-0.9999977815,3.2754920976e+11
87,728,0.9999977815,0.0000000000,1.0000002963,1.1059549655e+12
88,365,-0.9999992066,0.0000000000,0.9999990389,4.1298642124e+11
88,727,-0.9999992066,0.0000000000,-0.9999990389,1.1947870728e+12
89,364,0.0000000000,0.9999990389,0.9999977815,1.1275237820e+12
89,722,0.0000000000,-0.9999990389,0.9999977815,7.9971085071e+10
90,363,0.0000000000,-0.9999977815,-0.9999992066,7.9971085071e+10
90,721,0.0000000000,1.0000002963,-0.9999992066,7.9971085071e+10
91,361,0.0000000000,0.9999990389,-0.9999992066,8.0302504667e+09
91,723,0.0000000000,-0.9999990389,-0.9999992066,3.8386525377e+10
92,362,0.0000000000,-0.9999977815,0.9999977815,2.5587342005e+10
92,724,0.0000000000,1.0000002963,0.9999977815,2.1504569935e+10
93,369,0.9999990389,-0.9999992066,0.0000000000,4.1298642124e+11
93,731,-0.9999990389,-0.9999992066,0.0000000000,4.1298642124e+11
94,370,-0.9999977815,0.9999977815,0.0000000000,4.1298642124e+11
94,732,1.0000002963,0.9999977815,0.0000000000,4.1298642124e+11
95,372,0.9999990389,0.9999977815,0.0000000000,1.9364095514e+12
95,730,-0.9999990389,0.9999977815,0.0000000000,1.1947870728e+12
96,371,-0.9999977815,-0.9999992066,0.0000000000,2.0919451260e+12
96,729,1.0000002963,-0.9999992066,0.0000000000,1.4275161493e+11
97,499,0.0000000000,-0.9999992066,1.0000002963,1.1947870728e+12
97,617,0.0000000000,-0.9999992066,-0.9999990389,1.1947870728e+12
98,500,0.0000000000,0.9999977815,-1.0000002963,2.5587342005e+10
98,618,0.0000000000,0.9999977815,0.9999977815,2.1504569935e+10
99,498,0.0000000000,0.9999977815,1.0000002963,8.3120763698e+10
99,620,0.0000000000,0.9999977815,-0.9999990389,8.3120763698e+10
100,497,0.0000000000,-0.9999992066,-1.0000002963,3.2754920976e+11
100,619,0.0000000000,-0.9999992066,0.9999977815,1.1059549655e+12
101,496,1.0000002963,0.0000000000,-0.9999992066,3.2754920976e+11
101,614,-0.9999990389,0.0000000000,-0.9999992066,3.2754920976e+11
102,495,-1.0000002963,0.0000000000,0.9999977815,2.0210164798e+11
102,613,0.9999977815,0.0000000000,0.9999977815,2.0919451260e+12
103,493,1.0000002963,0.0000000000,0.9999977815,1.1059549655e+12
103,615,-0.9999990389,0.0000000000,0.9999977815,3.2754920976e+11
104,494,-1.0000002963,0.0000000000,-0.9999992066,3.8228098852e+11
104,616,0.9999977815,0.0000000000,-0.9999992066,8.3120763698e+10
105,501,-0.9999992066,1.0000002963,0.0000000000,1.7654360011e+11
105,623,-0.9999992066,-0.9999990389,0.0000000000,3.0110885237e+08
106,502,0.9999977815,-1.0000002963,0.0000000000,1.1947870728e+12
106,624,0.9999977815,0.9999977815,0.0000000000,1.1947870728e+12
107,504,0.9999977815,1.0000002963,0.0000000000,3.2754920976e+11
107,622,0.9999977815,-0.9999990389,0.0000000000,9.5154077036e+10
108,503,-0.9999992066,-1.0000002963,0.0000000000,1.9364095514e+12
108,621,-0.9999992066,0.9999977815,0.0000000000,1.1947870728e+12
109,487,-0.9999992066,0.0000000000,-1.0000002963,1.4275161493e+11
109,605,-0.9999992066,0.0000000000,0.9999977815,2.0210164798e+11
110,488,0.9999977815,0.0000000000,1.0000002963,4.1298642124e+11
110,606,0.9999977815,0.0000000000,-0.9999990389,1.1947870728e+12
111,486,0.9999977815,0.0000000000,-1.0000002963,4.1298642124e+11
111,608,0.9999977815,0.0000000000,0.9999977815,1.1947870728e+12
112,485,-0.9999992066,0.0000000000,1.0000002963,3.8228098852e+11
112,607,-0.9999992066,0.0000000000,-0.9999990389,8.3120763698e+10
113,484,0.0000000000,1.0000002963,0.9999977815,7.9971085071e+10
113,602,0.0000000000,-0.9999990389,0.9999977815,1.1275237820e+12
114,483,0.0000000000,-1.0000002963,-0.9999992066,1.1947870728e+12
114,601,0.0000000000,0.9999977815,-0.9999992066,1.9364095514e+12
115,481,0.0000000000,1.0000002963,-0.9999992066,3.2754920976e+11
115,603,0.0000000000,-0.9999990389,-0.9999992066,1.1059549655e+12
116,482,0.0000000000,-1.0000002963,0.9999977815,1.9364095514e+12
116,604,0.0000000000,0.9999977815,0.9999977815,4.1298642124e+11
117,489,1.0000002963,-0.9999992066,0.0000000000,1.1947870728e+12
117,611,-0.9999990389,-0.9999992066,0.0000000000,4.1298642124e+11
